f_range,G_0,G,var,bias
0.01,(3.7169833602024327-0.3503174285378241j),(3.7712279334354726-0.3551383424567037j),1.0100090483949409e-05,(-0.05424457323303988+0.004820913918879621j)
0.02,(3.621331989105082-0.6826049983909342j),(3.6223768747332445-0.6905499307104416j),5.603181036801056e-06,(-0.0010448856281626284+0.007944932319507325j)
0.03,(3.4724029297719357-0.9817987981027669j),(3.456667937335901-0.9834478794759364j),5.320874540074845e-06,(0.015734992436034823+0.0016490813731694365j)
0.04,(3.2833611504795948-1.2377979923314595j),(3.2741011212434374-1.233832188753193j),5.519324698186485e-06,(0.009260029236157319-0.003965803578266591j)
0.05,(3.0685737890883007-1.4460313309197002j),(3.074676426455859-1.4417028585422076j),4.909588479098348e-06,(-0.006102637367558117-0.004328472377492565j)
0.06,(2.841393026216591-1.606769902282197j),(2.8418435966438653-1.6031078551253355j),6.040675093882213e-06,(-0.000450570427274144-0.003662047156861581j)
0.07,(2.612786040809993-1.7237449805542338j),(2.607731810737281-1.7264950948786977j),2.2690396478485613e-05,(0.005054230072711885+0.002750114324463926j)
0.08,(2.390835695723726-1.8026476458302163j),(2.390163316784052-1.8032046934316632j),2.736815453210395e-05,(0.0006723789396736457+0.000557047601446925j)
0.09,(2.180873936884638-1.849882735401002j),(2.1792580030169786-1.8614827918337369j),3.3850441124098346e-05,(0.001615933867659347+0.011600056432734984j)
0.1,(1.9859507004152042-1.871714439244773j),(1.9963019830746678-1.8767356019880639j),3.377504628070169e-05,(-0.010351282659463612+0.005021162743290786j)
0.11,(1.8074031935107289-1.8737811162866527j),(1.8005080700301137-1.8705215135620268j),7.32280812186511e-06,(0.006895123480615162-0.0032596027246258874j)
0.12,(1.6453858094165104-1.86088750962617j),(1.6477440638085863-1.8581790190136933j),5.8384635735661915e-06,(-0.0023582543920759313-0.0027084906124767993j)
0.13,(1.4993002289619548-1.8369743280846251j),(1.5003707553834433-1.8356750915229183j),6.36153077449406e-06,(-0.0010705264214885268-0.001299236561706829j)
0.14,(1.368114717342158-1.8051848410134852j),(1.3705170101464483-1.8053283009767214j),1.0856018627837282e-05,(-0.0024022928042903846+0.00014345996323616994j)
0.15,(1.2505857363325064-1.767973932875873j),(1.2509499790390384-1.7667225485431672j),7.487499458303779e-06,(-0.0003642427065320142-0.0012513843327057739j)
0.16,(1.1454029992502197-1.7272270309652193j),(1.144923088897348-1.7266601320490027j),6.019616281819596e-06,(0.0004799103528716486-0.0005668989162166405j)
0.17,(1.05127882884355-1.684371821240384j),(1.0508834706776031-1.6840186816199143j),1.0800608429457546e-05,(0.00039535816594682416-0.00035313962046967795j)
0.18,(0.96699911961129-1.6404753583072582j),(0.9661295093228415-1.640476808564487j),7.155208868206003e-06,(0.0008696102884485635+1.4502572287522497e-06j)
0.19,(0.891448978231932-1.5963246498062325j),(0.8904339216506003-1.595296734839408j),5.378913908295492e-06,(0.0010150565813317192-0.001027914966824417j)
0.2,(0.8236223527800214-1.5524915596956346j),(0.8230055307853178-1.5520456014018826j),3.4788503325321176e-06,(0.0006168219947035869-0.00044595829375193574j)
0.21,(0.7626220063166317-1.5093840462814503j),(0.7621993275642039-1.5090691569090193j),3.7025776134521503e-06,(0.0004226787524277409-0.0003148893724309598j)
0.22,(0.7076540286253036-1.4672860604242333j),(0.7072280456851554-1.4667828812471677j),3.628643781816864e-06,(0.00042598294014817295-0.0005031791770655492j)
0.23,(0.6580195694623413-1.4263883172854352j),(0.6570927732749587-1.4252243951014383j),3.438168579147736e-06,(0.0009267961873825614-0.0011639221839969682j)
0.24,(0.6131054556270443-1.3868118685970967j),(0.6126212970521969-1.3855944081658018j),5.721242827674406e-06,(0.0004841585748474042-0.0012174604312948922j)
0.25,(0.5723746816484291-1.3486260712256268j),(0.5720125816479769-1.3474889028568746j),4.745656523804589e-06,(0.0003621000004522257-0.0011371683687522172j)
0.26,(0.53535733104205-1.311862233432772j),(0.5346868629553291-1.310535805180349j),6.176196577582886e-06,(0.0006704680867208879-0.0013264282524230175j)
0.27,(0.5016422128987947-1.276523947526438j),(0.5010355192752446-1.2752280883320308j),9.86931827597569e-06,(0.0006066936235501474-0.0012958591944072229j)
0.28,(0.47086933192620006-1.242594892543272j),(0.4705823779060384-1.2412068118886432j),9.744427383592018e-06,(0.00028695402016165605-0.0013880806546286983j)
0.29,(0.4427232115690961-1.210044710464062j),(0.44168188578008166-1.2091034768160995j),7.096872353319533e-06,(0.0010413257890144467-0.0009412336479623917j)
0.3,(0.4169270345940797-1.1788334180673647j),(0.41537775923782344-1.1781604437080035j),6.254348397086572e-06,(0.0015492753562562633-0.0006729743593612003j)
0.31,(0.39323753721323174-1.1489147069630938j),(0.3922726882582816-1.1479917405330313j),6.113834560376223e-06,(0.0009648489549501371-0.0009229664300625107j)
0.32,(0.371440580891926-1.1202384001681926j),(0.3710073878465272-1.1191151283990564j),5.3694797574089434e-06,(0.0004331930453987942-0.0011232717691362915j)
0.33,(0.35134732369403104-1.092752269265847j),(0.3515826404547076-1.0909597503173083j),6.0648781426270905e-06,(-0.0002353167606765627-0.0017925189485386017j)
0.34,(0.33279091612072026-1.066403367211597j),(0.3332711212907405-1.0650579998667091j),8.59978913408053e-06,(-0.00048020517002023144-0.0013453673448877712j)
0.35000000000000003,(0.3156236522679876-1.0411389946275043j),(0.3161239472312258-1.0395554540879528j),1.1771175137156798e-05,(-0.0005002949632381681-0.0015835405395514535j)
0.36,(0.2997145141703045-1.0169073891629956j),(0.3000513890523426-1.0160943325333935j),1.184421082024222e-05,(-0.00033687488203809623-0.0008130566296020714j)
0.37,(0.2849470544789856-0.9936582060446874j),(0.2847059755377051-0.9932677273862105j),7.439651669897264e-06,(0.00024107894128050367-0.00039047865847685603j)
0.38,(0.27121756962151194-0.9713428416420591j),(0.2708366162470785-0.9709500699903514j),1.3005209613791075e-05,(0.0003809533744334459-0.0003927716517077018j)
0.39,(0.258433522034735-0.9499146394908227j),(0.25796181126013557-0.9492331954666183j),9.451292600481503e-06,(0.0004717107745994542-0.0006814440242043363j)
0.4,(0.24651217584701315-0.9293290087936947j),(0.2470739743269458-0.9275702363750651j),7.925141990479068e-06,(-0.0005617984799326514-0.0017587724186296505j)
0.41000000000000003,(0.2353794154785128-0.9095434782424736j),(0.2364260913314313-0.9074889739775385j),5.597652567511858e-06,(-0.0010466758529185105-0.002054504264935142j)
0.42,(0.2249687210621368-0.8905177025341376j),(0.22622658870311896-0.8882366940293697j),7.333135621600114e-06,(-0.001257867640982152-0.0022810085047679785j)
0.43,(0.21522027841246455-0.8722134347777517j),(0.2160807509448373-0.8704807955479815j),1.2323926813899727e-05,(-0.000860472532372758-0.0017326392297701831j)
0.44,(0.20608020455031756-0.8545944747985388j),(0.20602105726236475-0.8530073649326732j),1.4328665674336986e-05,(5.914728795280988e-05-0.0015871098658656324j)
0.45,(0.19749987259179938-0.8376266009060788j),(0.19658233327428398-0.8363052976200568j),1.2416853774516755e-05,(0.0009175393175153979-0.0013213032860219798j)
0.46,(0.1894353221960685-0.8212774908273873j),(0.1884061664647882-0.8195524002772605j),1.0805864242997556e-05,(0.001029155731280318-0.0017250905501268177j)
0.47000000000000003,(0.1818467437936182-0.8055166360775712j),(0.1808846232039116-0.8029652755702652j),4.553510423700087e-06,(0.0009621205897065999-0.0025513605073059775j)
0.48,(0.17469802653834912-0.7903152529480975j),(0.17440782452038814-0.7875861432581638j),7.094654650583242e-06,(0.0002902020179609832-0.002729109689933673j)
0.49,(0.16795636138771036-0.7756461924571766j),(0.1677330004283487-0.7735455858754379j),6.190827503221794e-06,(0.00022336095936165146-0.0021006065817387176j)
0.5,(0.16159189195505577-0.7614838509685186j),(0.16069761219838988-0.7601173732910917j),3.6594727344620504e-06,(0.0008942797566658944-0.001366477677426814j)
0.51,(0.15557740683098212-0.7478040826980887j),(0.15437519219352003-0.7464281123339928j),3.787575662565957e-06,(0.0012022146374620901-0.0013759703640959797j)
0.52,(0.14988806796463136-0.7345841149583878j),(0.14856900069189152-0.7333692586277745j),3.602141572853414e-06,(0.0013190672727398378-0.0012148563306133564j)
0.53,(0.1445011704562463-0.7218024667093477j),(0.143101795252936-0.7191757338148941j),7.936196573465552e-06,(0.0013993752033102935-0.0026267328944535873j)
0.54,(0.1393959297594186-0.7094388707734633j),(0.13950812273667523-0.7070075081192475j),9.12733442932188e-06,(-0.00011219297725661992-0.0024313626542158406j)
0.55,(0.1345532928429548-0.6974741999143755j),(0.13507173115745805-0.6951221564220803j),5.888894528068198e-06,(-0.000518438314503239-0.0023520434922952305j)
0.56,(0.12995577033286862-0.6858903968604957j),(0.1302578673706417-0.6843010263988071j),6.627427688546659e-06,(-0.0003020970377730914-0.0015893704616886106j)
0.5700000000000001,(0.1255872870571149-0.6746704082689671j),(0.125187583126635-0.6736734737552036j),9.295270585775006e-06,(0.00039970393047988884-0.000996934513763481j)
0.58,(0.1214330487597856-0.6637981225629523j),(0.12086256438026576-0.6627959842303633j),8.56680231780274e-06,(0.0005704843795198422-0.0010021383325889976j)
0.59,(0.11747942304640598-0.653258311531286j),(0.1170220889425711-0.651996070264732j),1.02112358551314e-05,(0.00045733410383487494-0.0012622412665539429j)
0.6,(0.11371383287510903-0.6430365755495648j),(0.11300005025288092-0.6413943678417735j),3.234197798766313e-06,(0.0007137826222281124-0.0016422077077913322j)
0.61,(0.11012466112611813-0.6331192922623671j),(0.10944687108606664-0.6307895540001309j),4.58207460007882e-06,(0.0006777900400514875-0.0023297382622361473j)
0.62,(0.10670116496937579-0.6234935685549114j),(0.10646435948624358-0.6209595007886438j),5.060968168847772e-06,(0.0002368054831322075-0.0025340677662676336j)
0.63,(0.10343339891180883-0.6141471956370341j),(0.10286012686083451-0.6115726045423897j),1.0378917460840226e-05,(0.0005732720509743217-0.0025745910946444184j)
