f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.7001630963651024-0.43457464969768184j),1.4974108818900913e-05,(-0.0014973632987076435-0.0011641413680316126j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5530900043957345-0.8377725106656506j),1.5569180789061472e-05,(-0.0003270565428619143+0.0006724623966053445j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3352303476917875-1.1786178820461453j),2.6892522277932575e-05,(-0.0016367887153050376+0.00042866561598331465j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.069350936114157-1.4451795342967328j),1.152043676904014e-05,(-0.0007771470258561841-0.0008517966229673046j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7840192477311994-1.6382241984500827j),8.881168551982044e-06,(-9.990534132864326e-06-0.00169261966296963j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.5000270900246075-1.767534363678107j),2.263767752921073e-05,(0.0005585091052240365-2.5439599102838883e-05j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2316710719778516-1.8401227905043287j),1.4919483981043333e-05,(0.0003689143446998777-0.000569320677438867j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9862330477178478-1.8710194261600297j),1.704570532985464e-05,(-0.0002823473026436485-0.0006950130847434011j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7637576871590792-1.8708216556100437j),2.217297644311605e-05,(0.001604805106522278-0.0009701642507531361j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.569045788759606-1.8505767122986598j),2.5133022165627838e-05,(0.0013631052299865054+0.00048232061499309253j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3998064257353122-1.8129989903841262j),1.3175439105364672e-05,(-0.00022623389018217033-0.0007267347501862531j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.249914518134297-1.768489808021875j),2.8239148962655415e-05,(0.0006712181982093668+0.0005158751460019317j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1212178773010268-1.7164927621432344j),2.4839759712678973e-05,(-0.0003337093606186059-0.00017095327602922872j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.006724691286093-1.6619141181807582j),1.696324426694796e-05,(0.0012559042126090159-0.0005847095536302138j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9096451003359676-1.6063687842147065j),2.3734029072994575e-05,(-7.008069747482804e-05-0.0009829530519021024j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8245906243544104-1.5521009244790664j),3.0311360017895997e-05,(-0.0009682715743890569-0.00039063521656812483j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7493144021287899-1.4988254685958609j),1.2104490018065312e-05,(-0.0009710716669170116+6.940139037503457e-05j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.681340594113148-1.4447062619398048j),2.045188098781017e-05,(0.0008697339546848148-0.0019719325913607477j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6258322180048883-1.396677979450509j),1.8166156058888067e-05,(-0.0019101846608416961+0.00010040503940400569j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5736274753813337-1.348620762698052j),1.0201161420883944e-05,(-0.0012527937329046557-5.308527574854338e-06j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5266235518173438-1.2999770735998668j),1.2693523211282424e-05,(1.0298309594203303e-05-0.002917291218898832j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.48590848887752547-1.2598557690962808j),1.9215039747539544e-05,(1.9206126111726007e-07+0.0004708766552217192j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.44831208089815333-1.2186357891800097j),2.1736762626422628e-05,(0.00121715056731031+0.0005807460667848208j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.41604879250016524-1.176834651039542j),1.937011138047525e-05,(0.0008782420939143498-0.0019987670278225345j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.3862148018756657-1.140339359546992j),1.0876508358267086e-05,(0.0014038523451493923-0.0012918121665794757j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.3595146683863333-1.105951752675284j),1.2171555178114006e-05,(0.0016772296090411531-0.0003981152711776126j)
0.325,(0.3372943188308948-1.0728868710634212j),(0.33751156932388454-1.0711536213711021j),2.7635020248970248e-05,(-0.0002172504929897623-0.0017332496923190277j)
0.3375,(0.3156236522679876-1.0411389946275043j),(0.3159743593337081-1.0409044053471261j),2.0501447754085916e-05,(-0.00035070706572049026-0.00023458928037811688j)
0.35000000000000003,(0.2959198726576731-1.0110049215669235j),(0.29670572285728036-1.009042732260008j),1.6206476221302786e-05,(-0.000785850199607252-0.001962189306915496j)
0.36250000000000004,(0.27795859354634395-0.982386759923264j),(0.27764637737458625-0.9814612795871881j),1.2064795862277214e-05,(0.00031221617175769545-0.0009254803360758679j)
0.375,(0.26154557961787045-0.955190993126174j),(0.26055682384156154-0.9543095904544879j),2.249793846956867e-05,(0.0009887557763089139-0.0008814026716860157j)
0.3875,(0.24651217584701315-0.9293290087936947j),(0.24555406874113903-0.9294723927120496j),2.0004600202521232e-05,(0.0009581071058741286+0.00014338391835488906j)
0.4,(0.23271149294720475-0.9047173368529536j),(0.23209708271322604-0.9013081593318957j),1.685525799737128e-05,(0.0006144102339787072-0.00340917752105796j)
0.41250000000000003,(0.2200152166047218-0.8812776899082854j),(0.219106012083525-0.8797362806375244j),1.286813869510264e-05,(0.0009092045211968047-0.0015414092707609628j)
0.42500000000000004,(0.2083109317312265-0.8589368717859116j),(0.20763912754987462-0.8574545842779557j),1.2028441985034407e-05,(0.000671804181351876-0.0014822875079558706j)
0.4375,(0.19749987259179938-0.8376266009060788j),(0.19814158245964433-0.83587406095209j),2.2403052581317544e-05,(-0.0006417098678449529-0.0017525399539887188j)
0.45,(0.18749502577773414-0.8172832813505424j),(0.18719167383103863-0.8150291337261568j),1.2736089893427083e-05,(0.000303351946695507-0.002254147624385583j)
0.4625,(0.1782195261653514-0.7978477446314336j),(0.17792582754924727-0.7991825378372077j),1.749563237690783e-05,(0.00029369861610412107+0.0013347932057741208j)
0.47500000000000003,(0.16960529674480723-0.7792649781102272j),(0.16980022714797416-0.7776194023386885j),1.4830525738758667e-05,(-0.00019493040316692634-0.0016455757715386765j)
0.48750000000000004,(0.16159189195505577-0.7614838509685186j),(0.1616179980027895-0.7583969505146042j),1.0318008260404468e-05,(-2.6106047733731597e-05-0.003086900453914354j)
0.5,(0.1541255112910168-0.7444568450290424j),(0.15241526280493586-0.7421393594078112j),1.5524961910865334e-05,(0.001710248486080923-0.002317485621231241j)
0.5125000000000001,(0.1471581557609257-0.7281397951605957j),(0.14678491603232258-0.7261813344020089j),2.050253668337345e-05,(0.0003732397286031197-0.001958460758586744j)
0.525,(0.1406469045149428-0.7124916421835419j),(0.13955568527554524-0.7094206802301574j),1.6004834402252924e-05,(0.0010912192393975617-0.003070961953384521j)
0.5375,(0.1345532928429548-0.6974741999143755j),(0.13435802311582398-0.6955471510120121j),1.2959730137472366e-05,(0.0001952697271308257-0.001927048902363393j)
0.55,(0.12884277591418455-0.6830519370976993j),(0.12814568350363365-0.6799433083192481j),2.130846411059499e-05,(0.0006970924105509091-0.0031086287784511946j)
0.5625,(0.12348426523631793-0.6691917743631036j),(0.12378775239855828-0.6686616368929307j),1.9926471423422226e-05,(-0.0003034871622403512-0.0005301374701729422j)
0.5750000000000001,(0.11844972695430452-0.6558628959341215j),(0.12132748587915315-0.6540606881169043j),2.560808891177227e-05,(-0.0028777589248486363-0.001802207817217183j)
