f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.6778835318485585-0.3850869117840238j),5.442108067739294e-05,(0.039099828353874155+0.03476948324619972j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6106480809338892-0.6334459016448352j),1.4202079151389663e-05,(0.010683908171192691-0.049159096746099085j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.4312246015966696-1.005689198777994j),1.6428820967560422e-05,(0.04117832817526601+0.023890400675226964j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.3124322845564222-1.2349464806100767j),7.04266084825842e-06,(-0.029071134076827487-0.00285151172138276j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0324884051997643-1.4101776566524524j),2.4936567485486957e-05,(0.03608538388853644-0.035853674267247726j)
0.05,(2.841393026216591-1.606769902282197j),(2.870004936631403-1.5888660628722429j),1.5289686906160833e-05,(-0.028611910414811703-0.017903839409954214j)
0.06,(2.612786040809993-1.7237449805542338j),(2.61822669989775-1.7509834596296j),7.69206053997724e-06,(-0.005440659087756927+0.02723847907536614j)
0.07,(2.390835695723726-1.8026476458302163j),(2.355793751404071-1.7992711410316549j),1.3179286444123866e-05,(0.03504194431965457-0.0033765047985614416j)
0.08,(2.180873936884638-1.849882735401002j),(2.145948673356109-1.8410607713925895j),2.678327208296831e-05,(0.034925263528529094-0.008821964008412397j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9719624279359296-1.842179504961018j),2.7733916348127566e-05,(0.013988272479274588-0.0295349342837552j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.827058215315535-1.8907465514540935j),1.2405986008243522e-05,(-0.01965502180480616+0.016965435167440868j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6701250357245911-1.8539499222129316j),2.190427205209777e-05,(-0.024739226308080786-0.006937587413238466j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.5145142754114604-1.8556571271311364j),1.4572564502886903e-05,(-0.015214046449505636+0.018682799046511267j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3709400944655064-1.8272790295299068j),1.524520146926699e-05,(-0.002825377123348405+0.022094188516421642j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2254557284470482-1.7674157819919463j),1.3032871059289487e-05,(0.02513000788545816-0.0005581508839267446j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1385347525505694-1.705826186880925j),2.5864104398275098e-05,(0.00686824669965036-0.021400844084294324j)
0.16,(1.05127882884355-1.684371821240384j),(1.0592569544301946-1.666259163633894j),1.5611443999356663e-05,(-0.00797812558664468-0.018112657606490057j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9855238008722158-1.6420007207572205j),1.98064865501775e-05,(-0.01852468126092577+0.0015253624499622642j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8748398452602072-1.5836069842880187j),1.7128175014475222e-05,(0.016609132971724838-0.012717665518213739j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8033148706417326-1.5535299141425476j),2.7246312363009973e-05,(0.020307482138288813+0.0010383544469130257j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7448774168225889-1.501245566586732j),2.7720909481254453e-05,(0.017744589494042784-0.00813847969471837j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.7118375812381257-1.4853051263125971j),1.9771532403773782e-05,(-0.004183552612822106+0.018019065888363883j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6425329766574596-1.4187103261126912j),1.3495149733093243e-05,(0.015486592804881738-0.007677991172744036j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.6051015022916063-1.401348165370896j),1.799592436469504e-05,(0.008003953335438019+0.014536296773799195j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5875936665063316-1.3445094098427726j),1.836068629080602e-05,(-0.015218984857902518-0.00411666138285427j)
0.25,(0.53535733104205-1.311862233432772j),(0.5363529678363481-1.3264613260116072j),1.807545837187148e-05,(-0.0009956367942981492+0.014599092578835071j)
0.26,(0.5016422128987947-1.276523947526438j),(0.5149264042420783-1.286950116927983j),2.7400924588795613e-05,(-0.013284191343283513+0.010426169401544838j)
0.27,(0.47086933192620006-1.242594892543272j),(0.4878493523883036-1.2457680799401145j),2.4040941770764265e-05,(-0.016980020462103562+0.0031731873968425806j)
0.28,(0.4427232115690961-1.210044710464062j),(0.4419605101470101-1.1936094587139052j),2.085319126232886e-05,(0.0007627014220860096-0.0164352517501567j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.41591953359668055-1.192833897937503j),2.1571456146769073e-05,(0.0010075009973991578+0.014000479870138305j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.4108576644095863-1.1520643857641055j),4.4909484006160556e-05,(-0.017620127196354585+0.0031496788010116905j)
0.31,(0.371440580891926-1.1202384001681926j),(0.3645860012125444-1.1087012034759445j),1.4754336572275685e-05,(0.006854579679381578-0.011537196692248175j)
0.32,(0.35134732369403104-1.092752269265847j),(0.3629608213252274-1.0855617501226213j),3.322935596498349e-05,(-0.011613497631196346-0.007190519143225549j)
0.33,(0.33279091612072026-1.066403367211597j),(0.3343235876210803-1.0524613033408226j),2.2772085407775207e-05,(-0.0015326715003600166-0.013942063870774346j)
0.34,(0.3156236522679876-1.0411389946275043j),(0.3163309677136928-1.05062907819885j),2.169866899206765e-05,(-0.0007073154457051811+0.009490083571345842j)
0.35000000000000003,(0.2997145141703045-1.0169073891629956j),(0.28905156074554283-1.0192195511713542j),1.7817054297830506e-05,(0.010662953424761645+0.002312162008358598j)
0.36,(0.2849470544789856-0.9936582060446874j),(0.2717535748564887-0.99216222410593j),1.1509609750000597e-05,(0.013193479622496895-0.0014959819387573292j)
0.37,(0.27121756962151194-0.9713428416420591j),(0.27863007616334684-0.9757352063737983j),8.677005746688358e-06,(-0.007412506541834896+0.004392364731739207j)
0.38,(0.258433522034735-0.9499146394908227j),(0.2619852066494996-0.9379318570964922j),3.4160903463090295e-05,(-0.003551684614764572-0.011982782394330482j)
0.39,(0.24651217584701315-0.9293290087936947j),(0.24951101972609174-0.91899869634129j),2.0003961243474976e-05,(-0.0029988438790785887-0.010330312452404788j)
0.4,(0.2353794154785128-0.9095434782424736j),(0.22573038367009626-0.9007888731269683j),2.799103285686653e-05,(0.00964903180841653-0.008754605115505298j)
0.41000000000000003,(0.2249687210621368-0.8905177025341376j),(0.23061771909832915-0.8952460336846416j),1.5067778235336796e-05,(-0.005648998036192343+0.004728331150503973j)
0.42,(0.21522027841246455-0.8722134347777517j),(0.21693865606491292-0.859109548348579j),3.099306209633336e-05,(-0.0017183776524483663-0.013103886429172706j)
0.43,(0.20608020455031756-0.8545944747985388j),(0.19752002132172802-0.8442782846093094j),1.8716884179188454e-05,(0.008560183228589535-0.010316190189229357j)
0.44,(0.19749987259179938-0.8376266009060788j),(0.1876022844076626-0.8441534343581826j),3.255764148917303e-05,(0.009897588184136774+0.0065268334521038085j)
0.45,(0.1894353221960685-0.8212774908273873j),(0.1952285981920715-0.8262679330135424j),1.3394903036884181e-05,(-0.005793275996002989+0.004990442186155075j)
0.46,(0.1818467437936182-0.8055166360775712j),(0.16855345243080805-0.8127308337892347j),1.8276358554632754e-05,(0.013293291362810156+0.007214197711663539j)
0.47000000000000003,(0.17469802653834912-0.7903152529480975j),(0.1704451629862979-0.7993270280285902j),5.101291011156612e-05,(0.004252863552051234+0.009011775080492779j)
0.48,(0.16795636138771036-0.7756461924571766j),(0.15237513104337644-0.7697251823973542j),4.529492932236568e-05,(0.015581230344333924-0.005921010059822374j)
0.49,(0.16159189195505577-0.7614838509685186j),(0.1458733045593355-0.765581324555679j),5.224444853755364e-05,(0.015718587395720268+0.004097473587160394j)
0.5,(0.15557740683098212-0.7478040826980887j),(0.1579533526120164-0.7409993884053485j),1.3069132256038958e-05,(-0.0023759457810342832-0.006804694292740221j)
0.51,(0.14988806796463136-0.7345841149583878j),(0.14000013810857678-0.7437973883777156j),5.462324925303481e-05,(0.009887929856054578+0.009213273419327761j)
0.52,(0.1445011704562463-0.7218024667093477j),(0.15044246210812418-0.7191644864057656j),1.3361847485827885e-05,(-0.0059412916518778724-0.002637980303582088j)
0.53,(0.1393959297594186-0.7094388707734633j),(0.12611587114522224-0.7113268487586606j),5.772853090113012e-05,(0.013280058614196372+0.0018879779851972422j)
0.54,(0.1345532928429548-0.6974741999143755j),(0.13515189508334635-0.6865660012738115j),4.0348564224321406e-05,(-0.0005986022403915436-0.010908198640564026j)
0.55,(0.12995577033286862-0.6858903968604957j),(0.12564136791150454-0.6923082734464576j),1.717106084233363e-05,(0.0043144024213640775+0.006417876585961935j)
0.56,(0.1255872870571149-0.6746704082689671j),(0.1313520340769605-0.6705959267752858j),8.193844621014489e-06,(-0.005764747019845612-0.004074481493681281j)
0.5700000000000001,(0.1214330487597856-0.6637981225629523j),(0.10921006029853342-0.6618454683268463j),3.937578143507047e-05,(0.01222298846125218-0.0019526542361060217j)
0.58,(0.11747942304640598-0.653258311531286j),(0.10715792698066179-0.6455950898927156j),3.645061490605089e-05,(0.010321496065744187-0.007663221638570361j)
0.59,(0.11371383287510903-0.6430365755495648j),(0.10175909779213065-0.6429984737690516j),2.0659092870344742e-05,(0.011954735082978382-3.8101780513222216e-05j)
0.6,(0.11012466112611813-0.6331192922623671j),(0.09850998249751211-0.6319955501909904j),1.789994669729835e-05,(0.011614678628606018-0.0011237420713766655j)
0.61,(0.10670116496937579-0.6234935685549114j),(0.09672091340552616-0.6192293689276334j),2.0972976002641176e-05,(0.00998025156384963-0.004264199627278087j)
0.62,(0.10343339891180883-0.6141471956370341j),(0.10674989634706576-0.6163104657642295j),1.546450448975327e-05,(-0.0033164974352569293+0.0021632701271954158j)
0.63,(0.10031214554535813-0.6050686070613647j),(0.09199083209365766-0.6056896485977642j),2.109972639080435e-05,(0.008321313451700466+0.0006210415363995248j)
0.64,(0.09732885313775105-0.5962468394997634j),(0.09636293325823057-0.5872473080160572j),2.2483096363377294e-05,(0.0009659198795204799-0.008999531483706247j)
0.65,(0.0944755793126996-0.5876714961065868j),(0.0980077620483436-0.5904370346369685j),2.284897793184877e-05,(-0.003532182735643999+0.0027655385303817503j)
0.66,(0.09174494015713715-0.5793327123034119j),(0.10020409216581945-0.5750618979628624j),2.8410922313720783e-05,(-0.008459152008682302-0.004270814340549434j)
0.67,(0.08913006417212811-0.5712211238269759j),(0.09276397583035279-0.5737038307050425j),1.5141349203352054e-05,(-0.0036339116582246728+0.0024827068780666206j)
0.68,(0.08662455055293183-0.5633278368898498j),(0.08923217214577067-0.5531206540235166j),3.0307211740175438e-05,(-0.002607621592838838-0.010207182866333153j)
0.6900000000000001,(0.08422243134371556-0.5556444003114643j),(0.07952971657600434-0.5540651481255903j),7.4271327937763754e-06,(0.004692714767711215-0.0015792521858740693j)
0.7000000000000001,(0.08191813706486357-0.54816277948531j),(0.08137236243951954-0.5394467174477845j),3.508394025067322e-05,(0.0005457746253440393-0.008716062037525507j)
0.71,(0.07970646545669313-0.5408753320562883j),(0.08303675061109927-0.5429741379168993j),3.020963920711716e-05,(-0.003330285154406143+0.0020988058606109528j)
0.72,(0.07758255302358645-0.5337747851901504j),(0.0773217145942779-0.5264132711518873j),2.4770787615332737e-05,(0.0002608384293085464-0.007361514038263128j)
0.73,(0.07554184909780971-0.5268542143246747j),(0.0827746202946434-0.5263657275853891j),1.7120210756357948e-05,(-0.007232771196833687-0.0004884867392855874j)
0.74,(0.07358009217328537-0.5201070232996194j),(0.08026796877275849-0.5128367631028524j),4.120080984210982e-05,(-0.006687876599473119-0.00727026019676702j)
0.75,(0.07169328828684457-0.5135269257695122j),(0.0697218559210218-0.5163081662155862j),1.3132027791548399e-05,(0.00197143236582277+0.0027812404460739737j)
0.76,(0.06987769124852825-0.5071079278100042j),(0.06388994091212184-0.5007707612869057j),2.3960905002100015e-05,(0.005987750336406403-0.00633716652309857j)
0.77,(0.06812978454370316-0.5008443116347789j),(0.06123804521047604-0.5015834869081558j),1.996280649643533e-05,(0.006891739333227127+0.0007391752733768575j)
0.78,(0.06644626474849767-0.49473062034589993j),(0.07074492735558888-0.4886416052831279j),1.2847303704802674e-05,(-0.004298662607091205-0.006089015062772041j)
0.79,(0.06482402631664956-0.48876164364599467j),(0.06613868897289603-0.4899422880926807j),1.5245396369422011e-05,(-0.001314662656246468+0.00118064444668603j)
0.8,(0.06326014761053997-0.48293240444581653j),(0.06327417007033923-0.4859724772843924j),1.895133146961391e-05,(-1.4022459799256648e-05+0.00304007283857588j)
0.81,(0.06175187806222564-0.4772381463055255j),(0.058440568271098475-0.4705688038369301j),2.7796790384213573e-05,(0.003311309791127162-0.006669342468595407j)
0.8200000000000001,(0.06029662636185612-0.4716743216524923j),(0.05409961706792238-0.46779116989177844j),3.724908521188399e-05,(0.006197009293933742-0.0038831517607138544j)
0.8300000000000001,(0.05889194958115998-0.46623658072257723j),(0.05296963701141351-0.4648652653874395j),5.224593112816299e-05,(0.005922312569746471-0.001371315335137735j)
0.84,(0.05753554314885353-0.46092076117567876j),(0.0559189082877895-0.46578757797617154j),2.248972867490433e-05,(0.0016166348610640313+0.004866816800492779j)
0.85,(0.05622523160299654-0.4557228783399256j),(0.059772823318657124-0.4553047387304899j),1.1328589391133417e-05,(-0.003547591715660582-0.00041813960943570816j)
0.86,(0.054958960052624344-0.45063911604217793j),(0.05512060805612167-0.45463259900103054j),3.400006611633058e-05,(-0.00016164800349732777+0.003993482958852601j)
0.87,(0.053734786287498504-0.44566581798557997j),(0.04336449815972727-0.4420888767907092j),2.9830292072560647e-05,(0.010370288127771236-0.0035769411948707863j)
0.88,(0.05255087348065858-0.4407994796377257j),(0.05441528914926563-0.43432250759133106j),1.2385406931859995e-05,(-0.0018644156686070529-0.006476972046394636j)
0.89,(0.05140548343368424-0.4360367405956356j),(0.04522620643429775-0.4281434782796539j),2.5992883262687482e-05,(0.006179276999386495-0.007893262315981697j)
0.9,(0.05029697031925777-0.43137437739615475j),(0.05231038493025906-0.430861392090377j),1.814766723554157e-05,(-0.0020134146110012893-0.0005129853057777578j)
0.91,(0.04922377487983068-0.4268092967426375j),(0.04870358153343149-0.41790571360624496j),2.417817809836874e-05,(0.0005201933463991892-0.008903583136392557j)
0.92,(0.048184419044977625-0.42233852912085157j),(0.04045777696340053-0.4194901622041279j),6.247739072192479e-05,(0.007726642081577098-0.002848366916723688j)
0.93,(0.0471775009334169-0.41795922277895864j),(0.04024761588880983-0.41926127192410684j),2.233130331624077e-05,(0.006929885044607065+0.0013020491451481986j)
0.9400000000000001,(0.046201690208745934-0.4136686380482001j),(0.04490922432420369-0.41473663985971365j),9.329658242172176e-06,(0.0012924658845422446+0.0010680018115135637j)
0.9500000000000001,(0.04525572376069902-0.4094641419825632j),(0.04763345911286786-0.4009705054204055j),2.4270679364974883e-05,(-0.0023777353521688346-0.00849363656215768j)
0.96,(0.04433840168622346-0.4053432032972172j),(0.04677977169702793-0.400673905712225j),1.210270463951597e-05,(-0.0024413700108044736-0.0046692975849921825j)
0.97,(0.04344858354692584-0.40130338758692047j),(0.038085621311630125-0.3935089802528119j),2.6244274154942798e-05,(0.005362962235295712-0.007794407334108577j)
0.98,(0.042585184881468834-0.3973423528068953j),(0.04285026975448342-0.39824979060242227j),1.3839699784893986e-05,(-0.000265084873014583+0.0009074377955269886j)
0.99,(0.041747173953343444-0.39345784499987707j),(0.037098474672934874-0.39043317714085524j),2.889287522427458e-05,(0.0046486992804085706-0.0030246678590218345j)
1.0,(0.04093356871611116-0.3896476942541562j),(0.03498756259041287-0.3899766596912349j),3.370249117242174e-05,(0.005946006125698289+0.00032896543707872095j)
1.01,(0.04014343397971649-0.3859098108784656j),(0.042801413911724914-0.37702353853827236j),1.4384308818495104e-05,(-0.0026579799320084266-0.008886272340193235j)
1.02,(0.03937587876284895-0.38224218178052616j),(0.04094398701730731-0.38098295548296823j),5.415047297767109e-06,(-0.0015681082544583627-0.001259226297557925j)
1.03,(0.038630053817575186-0.3786428670369452j),(0.04076101157797907-0.371048192881936j),2.68291130825302e-05,(-0.0021309577604038815-0.007594674155009196j)
1.04,(0.037905149313597765-0.3751099966429919j),(0.03362381485105396-0.3662677914847602j),4.41956836385765e-05,(0.0042813344625438066-0.008842205158231697j)
1.05,(0.03720039267052618-0.3716417674315306j),(0.03796394804496252-0.36196892907332734j),2.442172358049646e-05,(-0.0007635553744363352-0.009672838358203262j)
1.06,(0.03651504652748401-0.3682364401511077j),(0.03659201138640899-0.3585873576375872j),6.304148384466318e-05,(-7.696485892497856e-05-0.00964908251352048j)
1.07,(0.03584840684023232-0.3648923366938366j),(0.029236892054486843-0.35942063405190244j),4.4045874583033235e-05,(0.006611514785745478-0.00547170264193414j)
1.08,(0.03519980109677144-0.3616078374643455j),(0.03012062482417413-0.3545942036398196j),2.890693903519752e-05,(0.0050791762725973105-0.007013633824525911j)
1.09,(0.034568586643089524-0.3583813788816117j),(0.035403873366149884-0.350218488015154j),2.668373034901787e-05,(-0.0008352867230603592-0.008162890866457717j)
1.1,(0.033954149111384606-0.3552114510060368j),(0.03579264174928581-0.35174845390554843j),2.2471683610400413e-05,(-0.0018384926379012012-0.003462997100488363j)
1.11,(0.0333559009436735-0.3520965952846061j),(0.03297683924400129-0.35429759270169153j),1.6772600716596127e-05,(0.00037906169967220904+0.0022009974170854596j)
1.12,(0.03277328000425455-0.34903540240743103j),(0.02969900675817884-0.3465066708220917j),1.3941170720897384e-05,(0.003074273246075711-0.002528731585339339j)
1.1300000000000001,(0.03220574827497849-0.3460265102693984j),(0.028162904412021628-0.3449193607891228j),1.4865585119910429e-05,(0.004042843862956863-0.0011071494802756265j)
1.1400000000000001,(0.031652790627748784-0.34306860203104256j),(0.03373625744726049-0.34270406029221356j),2.7159036539143356e-05,(-0.0020834668195117076-0.000364541738828994j)
