f_range,G_0,G,var,bias
0.01,(3.7169833602024327-0.3503174285378241j),(3.716697787943558-0.349533855713853j),1.67515727817332e-05,(0.0002855722588748222-0.0007835728239711237j)
0.02,(3.621331989105082-0.6826049983909342j),(3.6213993864951513-0.6816906938921473j),1.5191317837521299e-05,(-6.739739006933476e-05-0.0009143044987869331j)
0.03,(3.4724029297719357-0.9817987981027669j),(3.472612989315879-0.98101742204513j),2.640482315862914e-05,(-0.00021005954394315296-0.0007813760576369511j)
0.04,(3.2833611504795948-1.2377979923314595j),(3.2831876792035892-1.239814863636988j),2.8297195524200963e-05,(0.00017347127600553236+0.0020168713055284115j)
0.05,(3.0685737890883007-1.4460313309197002j),(3.0686877231288094-1.4459109466551805j),2.4061441729076828e-05,(-0.00011393404050874523-0.00012038426451965734j)
0.06,(2.841393026216591-1.606769902282197j),(2.8403409083809823-1.6066961585681427j),2.4085612632505666e-05,(0.001052117835608879-7.374371405433067e-05j)
0.07,(2.612786040809993-1.7237449805542338j),(2.6120722136082017-1.7229671657525145j),3.5782526151514006e-06,(0.0007138272017912506-0.0007778148017192343j)
0.08,(2.390835695723726-1.8026476458302163j),(2.3911355791450934-1.8021382900703256j),9.610257858673288e-06,(-0.00029988342136766377-0.0005093557598907505j)
0.09,(2.180873936884638-1.849882735401002j),(2.1818797132481196-1.8492352259755436j),1.5326861654477067e-05,(-0.0010057763634816475-0.0006475094254583258j)
0.1,(1.9859507004152042-1.871714439244773j),(1.9864210318988293-1.8736755561610288j),8.830670218748901e-06,(-0.00047033148362518595+0.0019611169162556674j)
0.11,(1.8074031935107289-1.8737811162866527j),(1.806730102173746-1.8731514809568652j),1.542423615903879e-05,(0.0006730913369827896-0.0006296353297874369j)
0.12,(1.6453858094165104-1.86088750962617j),(1.6454241039397557-1.8608314808335766j),2.3324461985119237e-05,(-3.8294523245330225e-05-5.6028792593476595e-05j)
0.13,(1.4993002289619548-1.8369743280846251j),(1.4983935896844867-1.8359607837874563j),1.0864508788757412e-05,(0.0009066392774681464-0.0010135442971688224j)
0.14,(1.368114717342158-1.8051848410134852j),(1.3677779187396861-1.8048853661713875j),1.3314953405515968e-05,(0.0003367986024718217-0.00029947484209769115j)
0.15,(1.2505857363325064-1.767973932875873j),(1.2491342197295092-1.7680963423770444j),2.6701334741505155e-05,(0.0014515166029971382+0.00012240950117137217j)
0.16,(1.1454029992502197-1.7272270309652193j),(1.147445229754747-1.725803177678441j),2.827202143067849e-05,(-0.0020422305045273426-0.0014238532867782983j)
0.17,(1.05127882884355-1.684371821240384j),(1.0502470389553495-1.6842753174657432j),1.9219547873463414e-05,(0.0010317898882004073-9.650377464076598e-05j)
0.18,(0.96699911961129-1.6404753583072582j),(0.9673461572158892-1.6387299433739013j),1.8245378539582813e-05,(-0.0003470376045991985-0.0017454149333568925j)
0.19,(0.891448978231932-1.5963246498062325j),(0.8920810204464851-1.5969530334498891j),2.4317866565743348e-05,(-0.0006320422145530413+0.0006283836436566936j)
0.2,(0.8236223527800214-1.5524915596956346j),(0.8228644789128952-1.551151857274607j),3.596077804267499e-05,(0.0007578738671262242-0.0013397024210275443j)
0.21,(0.7626220063166317-1.5093840462814503j),(0.762008823642407-1.5101547331756549j),2.024830666969055e-05,(0.0006131826742247215+0.0007706868942045642j)
0.22,(0.7076540286253036-1.4672860604242333j),(0.7086707440314126-1.4661619059867144j),1.528426144322977e-05,(-0.0010167154061090367-0.0011241544375188983j)
0.23,(0.6580195694623413-1.4263883172854352j),(0.6583519129471945-1.4246440487268401j),2.2587796032420864e-05,(-0.00033234348485322585-0.0017442685585951079j)
0.24,(0.6131054556270443-1.3868118685970967j),(0.6109953620169861-1.3867039049632486j),2.315815582194919e-05,(0.0021100936100582057-0.00010796363384812935j)
0.25,(0.5723746816484291-1.3486260712256268j),(0.5725717312721404-1.3473736574891777j),2.448079704937444e-05,(-0.00019704962371136503-0.0012524137364491317j)
0.26,(0.53535733104205-1.311862233432772j),(0.5339630522212246-1.3116201327244053j),2.1220050006031302e-05,(0.0013942788208253232-0.0002421007083668325j)
