f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.698849966587217-0.43695806051478975j),1.8986079727793382e-05,(-0.0001842335208221968+0.001219269449076299j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.553426050082446-0.8369759378400148j),1.2091924941231226e-05,(-0.0006631022295735534-0.0001241104290304884j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3339831377406086-1.1778509149114214j),8.305322296358995e-06,(-0.0003895787641261528-0.00033830151874059133j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.069070242694947-1.4457209615850752j),2.4052353853125992e-05,(-0.0004964536066465186-0.0003103693346249159j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.785149405399107-1.6391422128244006j),1.840662690679627e-05,(-0.0011401482020403364-0.0007746052886516974j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.5003781061302326-1.7672231063347714j),1.4380125742934197e-05,(0.00020749299959899048-0.00033669694243831927j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2310651675762365-1.8406194238577502j),1.1869883255065188e-05,(0.0009748187463149982-7.268732401732869e-05j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9873375394574808-1.870957241792124j),2.007677391941809e-05,(-0.0013868390422766552-0.0007571974526490166j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7639813734166285-1.8700353717293663j),1.2664400765493799e-05,(0.001381118848972962-0.0017564481314304992j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5697636938879134-1.8501159734931427j),1.2191068155441925e-05,(0.000645200101679233+2.1581809475978986e-05j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3990071258094519-1.8132543242029477j),1.730654840061137e-05,(0.0005730660356781936-0.00047140093136466277j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2504822138066747-1.767532050033973j),2.3735533035799506e-05,(0.00010352252583167854-0.0004418828418999432j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1220536846365294-1.7148606145049414j),1.228964074198311e-05,(-0.0011695166961211978-0.001803100914322231j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.0069672082537207-1.6624888183072106j),1.6258969800257904e-05,(0.0010133872449813452-1.0009427177770647e-05j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9096667878889453-1.6072677636565016j),1.5030678922783823e-05,(-9.176825045253967e-05-8.397361010703541e-05j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8247071580355979-1.5520093738249834j),1.1146388619143047e-05,(-0.0010848052555765264-0.0004821858706511861j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7463560508270493-1.4983273082332875j),1.3796083970356142e-05,(0.001987279634823591-0.0004287589721982954j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6799154809371756-1.446532372333975j),1.98738902196678e-05,(0.002294847130657196-0.00014582219719061484j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6254672767477647-1.3955819091483164j),1.5558326578844584e-05,(-0.0015452434037180884-0.0009956652627887141j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5715946995410359-1.3478269299220682j),1.5616328248072306e-05,(0.0007799821073931623-0.0007991413035586259j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5245464381336916-1.3024859308130465j),1.863586632138642e-05,(0.0020874119932463575-0.00040843400571910493j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.4853182606310246-1.2580911560553j),1.516570173627545e-05,(0.000590420307761963-0.0012937363857590256j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.4494935643822965-1.2172187649965502j),1.0004979734779725e-05,(3.566708316715683e-05-0.000836278116674638j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.41743966610992755-1.1782679056995435j),5.836798226275554e-06,(-0.0005126315158479611-0.0005655123678209861j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.3858331330590662-1.1384999173667023j),1.4167517185241041e-05,(0.0017855211617489042-0.0031312543468691167j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.36043492235961283-1.1048045165599316j),2.732786181467157e-05,(0.0007569756357616031-0.0015453513865300028j)
0.325,(0.3372943188308948-1.0728868710634212j),(0.33729539236428485-1.0718809999272425j),9.842539222435137e-06,(-1.0735333900724342e-06-0.001005871136178671j)
0.3375,(0.3156236522679876-1.0411389946275043j),(0.31569078521948984-1.041222489868146j),1.831932929367642e-05,(-6.713295150223564e-05+8.349524064166225e-05j)
0.35000000000000003,(0.2959198726576731-1.0110049215669235j),(0.2962766294373367-1.0108040277037522j),1.823032710643743e-05,(-0.00035675677966356956-0.00020089386317123648j)
0.36250000000000004,(0.27795859354634395-0.982386759923264j),(0.2774889266602923-0.9809280439243141j),1.931482259074087e-05,(0.0004696668860516562-0.0014587159989498666j)
0.375,(0.26154557961787045-0.955190993126174j),(0.26021555342534547-0.9546630936646651j),1.644460803451829e-05,(0.0013300261925249801-0.000527899461508885j)
0.3875,(0.24651217584701315-0.9293290087936947j),(0.24765994461885033-0.9273235284785541j),1.3284075275285303e-05,(-0.001147768771837171-0.0020054803151405842j)
0.4,(0.23271149294720475-0.9047173368529536j),(0.23135100015218654-0.9017468411593115j),2.854168754787877e-05,(0.0013604927950182089-0.002970495693642161j)
0.41250000000000003,(0.2200152166047218-0.8812776899082854j),(0.2189518719860682-0.880517467276516j),1.2895055980613998e-05,(0.0010633446186536222-0.0007602226317693361j)
0.42500000000000004,(0.2083109317312265-0.8589368717859116j),(0.20745060636277987-0.856298235178932j),1.7499785705227188e-05,(0.0008603253684466294-0.0026386366069796052j)
0.4375,(0.19749987259179938-0.8376266009060788j),(0.19737902881372799-0.8365319845436544j),1.4838313600218594e-05,(0.00012084377807139446-0.001094616362424361j)
0.45,(0.18749502577773414-0.8172832813505424j),(0.18584003992194226-0.8164857237564779j),1.1513267945808537e-05,(0.0016549858557918795-0.0007975575940645241j)
0.4625,(0.1782195261653514-0.7978477446314336j),(0.17872441690363614-0.794673985750702j),2.2440493900979792e-05,(-0.0005048907382847467-0.0031737588807315698j)
0.47500000000000003,(0.16960529674480723-0.7792649781102272j),(0.16834403360391686-0.7786626585593484j),1.1708258904443071e-05,(0.0012612631408903674-0.0006023195508788604j)
0.48750000000000004,(0.16159189195505577-0.7614838509685186j),(0.16116172811417018-0.7601810379488487j),1.2797334059733865e-05,(0.00043016384088559456-0.001302813019669835j)
0.5,(0.1541255112910168-0.7444568450290424j),(0.1535048138687343-0.7434030214805121j),1.3443258435410221e-05,(0.0006206974222824901-0.0010538235485303415j)
0.5125000000000001,(0.1471581557609257-0.7281397951605957j),(0.1456240570321403-0.7273252008429952j),9.81107038106049e-06,(0.0015340987287854047-0.0008145943176004478j)
0.525,(0.1406469045149428-0.7124916421835419j),(0.13963081574450725-0.7088097164633016j),2.775402981872298e-05,(0.001016088770435547-0.0036819257202402866j)
0.5375,(0.1345532928429548-0.6974741999143755j),(0.13242492428998337-0.6956745129874462j),3.6559922913708775e-06,(0.002128368552971438-0.0017996869269293336j)
0.55,(0.12884277591418455-0.6830519370976993j),(0.12940063013506733-0.6809972163923838j),2.278842230590565e-05,(-0.0005578542208827808-0.002054720705315538j)
0.5625,(0.12348426523631793-0.6691917743631036j),(0.12275038168302824-0.667756442050743j),1.1665853479959274e-05,(0.0007338835532896965-0.0014353323123605932j)
0.5750000000000001,(0.11844972695430452-0.6558628959341215j),(0.11649109145309106-0.6542538532867312j),8.226006240362367e-06,(0.00195863550121346-0.0016090426473902575j)
