f_range,G_0,G,var,bias
0.02,(3.7169833602024327-0.3503174285378241j),(3.7890872636063317-0.3179374098038354j),,(-0.07210390340389905-0.032380018733988714j)
0.03,(3.621331989105082-0.6826049983909342j),(3.628793425856988-0.6680318171713178j),,(-0.007461436751905914-0.014573181219616482j)
0.04,(3.4724029297719357-0.9817987981027669j),(3.4558966474183146-0.9721532609475695j),,(0.01650628235362106-0.009645537155197448j)
0.05,(3.2833611504795948-1.2377979923314595j),(3.2699993586264444-1.2300849271035472j),,(0.01336179185315034-0.0077130652279122636j)
0.06,(3.0685737890883007-1.4460313309197002j),(3.0708063862655837-1.4416080001729672j),,(-0.002232597177282969-0.004423330746732956j)
0.07,(2.841393026216591-1.606769902282197j),(2.8365549941665185-1.6064147059563434j),,(0.004838032050072716-0.00035519632585367944j)
0.08,(2.612786040809993-1.7237449805542338j),(2.6182465524604077-1.7183446919429008j),,(-0.005460511650414723-0.005400288611332904j)
0.09,(2.390835695723726-1.8026476458302163j),(2.3947425315955453-1.7947606274135162j),,(-0.003906835871819503-0.007887018416700142j)
0.1,(2.180873936884638-1.849882735401002j),(2.1861081619979252-1.8435306857185059j),,(-0.005234225113287305-0.00635204968249603j)
0.11,(1.9859507004152042-1.871714439244773j),(1.9922176886678702-1.8655116638383136j),,(-0.006266988252666028-0.006202775406459526j)
0.12,(1.8074031935107289-1.8737811162866527j),(1.8120065578016298-1.871374757923609j),,(-0.004603364290900913-0.0024063583630435925j)
0.13,(1.6453858094165104-1.86088750962617j),(1.649572790027031-1.8636169025685179j),,(-0.004186980610520585+0.0027293929423477525j)
0.14,(1.4993002289619548-1.8369743280846251j),(1.500462674200315-1.8420392714323928j),,(-0.001162445238360288+0.0050649433477676364j)
0.15,(1.368114717342158-1.8051848410134852j),(1.367648291931075-1.8072763816169972j),,(0.0004664254110828825+0.002091540603512021j)
0.16,(1.2505857363325064-1.767973932875873j),(1.2495713388193868-1.7677184214390576j),,(0.0010143975131196026-0.00025551143681545874j)
0.17,(1.1454029992502197-1.7272270309652193j),(1.1416627612142676-1.725802849506572j),,(0.003740238035952137-0.0014241814586473112j)
0.18,(1.05127882884355-1.684371821240384j),(1.0466205697364408-1.6821501335348557j),,(0.004658259107109153-0.00222168770552833j)
0.19,(0.96699911961129-1.6404753583072582j),(0.9615097364713242-1.643274732283997j),,(0.005489383139965831+0.002799373976738684j)
0.2,(0.891448978231932-1.5963246498062325j),(0.8846426747864998-1.6021432296937856j),,(0.006806303445432205+0.005818579887553188j)
0.21,(0.8236223527800214-1.5524915596956346j),(0.8169508178459507-1.5531585037777031j),,(0.006671534934070689+0.0006669440820685768j)
0.22,(0.7626220063166317-1.5093840462814503j),(0.7619502058830078-1.508688358412402j),,(0.0006718004336239147-0.0006956878690482782j)
0.23,(0.7076540286253036-1.4672860604242333j),(0.7070906837049094-1.4610715143869208j),,(0.0005633449203942265-0.006214546037312418j)
